-----------------------------------------------------------------------------------------------------------------------------------------
 Module info :
-----------------------------------------------------------------------------------------------------------------------------------------
 Base       | Top        | Size       | Rebase | SafeSEH | ASLR  | NXCompat | OS Dll | Version, Modulename & Path
-----------------------------------------------------------------------------------------------------------------------------------------
 0x10470000 | 0x104a1000 | 0x00031000 | False  | True    | False |  False   | False  | -1.0- [test.exe] (C:\Users\Jay\Desktop\test.exe)
 0x74f50000 | 0x75134000 | 0x001e4000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNELBASE.dll] (C:\WINDOWS\System32\KERNELBASE.dll)
 0x77a30000 | 0x77a74000 | 0x00044000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [sechost.dll] (C:\WINDOWS\System32\sechost.dll)
 0x72ee0000 | 0x72f36000 | 0x00056000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [mswsock.dll] (C:\WINDOWS\system32\mswsock.dll)
 0x75bc0000 | 0x75ca0000 | 0x000e0000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [KERNEL32.DLL] (C:\WINDOWS\System32\KERNEL32.DLL)
 0x773a0000 | 0x7745f000 | 0x000bf000 | True   | True    | True  |  False   | True   | 7.0.17134.1 [msvcrt.dll] (C:\WINDOWS\System32\msvcrt.dll)
 0x744d0000 | 0x744da000 | 0x0000a000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [CRYPTBASE.dll] (C:\WINDOWS\System32\CRYPTBASE.dll)
 0x744e0000 | 0x74500000 | 0x00020000 | True   | True    | True  |  False   | True   | 10.0.17134.376 [SspiCli.dll] (C:\WINDOWS\System32\SspiCli.dll)
 0x77c20000 | 0x77db0000 | 0x00190000 | True   | True    | True  |  False   | True   | 10.0.17134.228 [ntdll.dll] (C:\WINDOWS\SYSTEM32\ntdll.dll)
 0x74550000 | 0x745c8000 | 0x00078000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [ADVAPI32.dll] (C:\WINDOWS\System32\ADVAPI32.dll)
 0x75de0000 | 0x75ea0000 | 0x000c0000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [RPCRT4.dll] (C:\WINDOWS\System32\RPCRT4.dll)
 0x75d10000 | 0x75d77000 | 0x00067000 | True   | True    | True  |  False   | True   | 10.0.17134.1 [WS2_32.dll] (C:\WINDOWS\System32\WS2_32.dll)
 0x77650000 | 0x776a8000 | 0x00058000 | True   | True    | True  |  False   | True   | 10.0.17134.345 [bcryptPrimitives.dll] (C:\WINDOWS\System32\bcryptPrimitives.dll)
-----------------------------------------------------------------------------------------------------------------------------------------
Interesting gadgets
-------------------
0x1047601a :  # POP EDI # POP ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047b917 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047569c :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047991c :  # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6aa :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104756b3 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104756ca :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104736cc :  # ADD BH,DH # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6ea :  # POPAD # ADD AL,0 # MOV DWORD PTR DS:[ECX],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6eb :  # ADD AL,0 # MOV DWORD PTR DS:[ECX],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6ed :  # MOV DWORD PTR DS:[ECX],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6ef :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d6f0 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104796f7 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475700 :  # ADC EAX,<&KERNEL32.CreateEventW> # POP EBP # RETN    ** [test.exe] **   |  null {PAGE_EXECUTE_READ}
0x10475705 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10479709 :  # MOV EAX,ECX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048370d :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047d714 :  # MOV EAX,DWORD PTR DS:[EAX+4] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10476e85 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047e400 :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |  null {PAGE_EXECUTE_READ}
0x1047f727 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10485728 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047572b :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047d73a :  # MOV EAX,DWORD PTR DS:[EAX+8] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047573f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10479740 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479742 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489e8d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10471753 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047575c :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048575d :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048575f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047d760 :  # ADD EAX,0A0 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475768 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048576d :  # XOR EAX,EAX # INC EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048576f :  # INC EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10485770 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10473776 :  # PUSH ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10475785 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10477786 :  # PUSH EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475787 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d788 :  # MOV EAX,DWORD PTR DS:[EAX+74] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10485789 :  # XOR ESI,ESI # INC ESI # MOV ECX,DWORD PTR SS:[EBP+10] # MOV EAX,ESI # POP ESI # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048778a :  # ADD ESP,14 # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048578b :  # INC ESI # MOV ECX,DWORD PTR SS:[EBP+10] # MOV EAX,ESI # POP ESI # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048578c :  # MOV ECX,DWORD PTR SS:[EBP+10] # MOV EAX,ESI # POP ESI # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048778d :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048578f :  # MOV EAX,ESI # POP ESI # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10485791 :  # POP ESI # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10485792 :  # MOV DWORD PTR DS:[ECX],EDX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10485794 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d79c :  # MOV EAX,DWORD PTR DS:[EAX] # MOV EAX,DWORD PTR DS:[EAX+74] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d79e :  # MOV EAX,DWORD PTR DS:[EAX+74] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d7a1 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104737a4 :  # ADD BH,DH # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489dbd :  # ADD ESP,10 # XOR EAX,EAX # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757a6 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757a8 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757aa :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757c1 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104837c2 :  # ADC ESP,DWORD PTR DS:[E58BFFFF] # POP EBP # RETN 0x04    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104837c3 :  # AND EAX,E58BFFFF # POP EBP # RETN 0x04    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104837c8 :  # POP EBP # RETN 0x04    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104717dd :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472ea5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757e2 :  # ADC EAX,<&KERNEL32.TlsFree> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104877e5 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104757e7 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104717ec :  # ADC EAX,<&ADVAPI32.StartServiceA> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d7ed :  # INC EBP # MOV ESP,1AE85053 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047d7ee :  # MOV ESP,1AE85053 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104717f1 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797f2 :  # POP DWORD PTR FS:[0] # ADD ESP,18 # POP EDI # POP ESI # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797f4 :  # ADD EAX,0 # ADD ESP,18 # POP EDI # POP ESI # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797f9 :  # ADD ESP,18 # POP EDI # POP ESI # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797fc :  # POP EDI # POP ESI # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797fd :  # POP ESI # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104797fe :  # POP EBX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10487800 :  # ADD ESP,18 # POP EBP # RETN    ** [test.exe] **   |  null {PAGE_EXECUTE_READ}
0x10475801 :  # ADC EAX,<&KERNEL32.TlsGetValue> # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10487803 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10475806 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047e401 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048380a :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483818 :  # ADD BH,BH # ADC EAX,<&KERNEL32.GetUserDefaultLCID> # MOV DWORD PTR DS:[ESI+8],EAX # MOV DWORD PTR DS:[ESI+4],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048381a :  # ADC EAX,<&KERNEL32.GetUserDefaultLCID> # MOV DWORD PTR DS:[ESI+8],EAX # MOV DWORD PTR DS:[ESI+4],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048381f :  # MOV DWORD PTR DS:[ESI+8],EAX # MOV DWORD PTR DS:[ESI+4],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10475820 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483822 :  # MOV DWORD PTR DS:[ESI+4],EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10475823 :  # ADC EAX,<&KERNEL32.TlsSetValue> # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483824 :  # ADD AL,5E # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483825 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483826 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10475828 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10479832 :  # ADD ESP,0C # POP EBP # MOV EAX,DWORD PTR SS:[ESP+8] # MOV EDX,DWORD PTR SS:[ESP+10] # MOV DWORD PTR DS:[EDX],EAX # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479835 :  # POP EBP # MOV EAX,DWORD PTR SS:[ESP+8] # MOV EDX,DWORD PTR SS:[ESP+10] # MOV DWORD PTR DS:[EDX],EAX # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479836 :  # MOV EAX,DWORD PTR SS:[ESP+8] # MOV EDX,DWORD PTR SS:[ESP+10] # MOV DWORD PTR DS:[EDX],EAX # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047983a :  # MOV EDX,DWORD PTR SS:[ESP+10] # MOV DWORD PTR DS:[EDX],EAX # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047983e :  # MOV DWORD PTR DS:[EDX],EAX # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047983f :  # ADD BH,BYTE PTR DS:[EAX+3] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479840 :  # MOV EAX,3 # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b849 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475852 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047985b :  # ADD ESP,0C # POP EBP # RETN 0x04    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047985e :  # POP EBP # RETN 0x04    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475863 :  # XOR EAX,EAX # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10479874 :  # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479875 :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479876 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479877 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10472ebf :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10473108 :  # MOV DWORD PTR DS:[ESI],EAX # MOV EAX,DWORD PTR DS:[ECX+4] # MOV DWORD PTR DS:[ESI+4],EAX # MOV EAX,ESI # POP ESI # POP EBP # RETN 0x04    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047b881 :  # ADC EAX,<&KERNEL32.HeapAlloc> # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475884 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b886 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047588e :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475890 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10483898 :  # ADD EAX,750707F6 # ADD EAX,DWORD PTR DS:[EBX+5E5F0027] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048389d :  # ADD EAX,DWORD PTR DS:[EBX+5E5F0027] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104838a1 :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104838a2 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798a3 :  # AND EAX,5E5F0001 # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798a6 :  # POP EDI # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798a7 :  # POP ESI # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798a8 :  # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798a9 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758aa :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104718ad :  # ADD ECX,DWORD PTR DS:[EBX+E58BF845] # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104718b3 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758b4 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758b6 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798bb :  # ADD ESP,0C # POP EBP # RETN 0x08    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798be :  # POP EBP # RETN 0x08    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10482ece :  # INC ECX # MOV EAX,ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898d8 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758d9 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898dc :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898dd :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10473ed0 :  # XOR EAX,EAX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898e3 :  # POP ES # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898e4 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798e5 :  # POP ES # XOR EAX,EAX # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798e6 :  # XOR EAX,EAX # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104798e8 :  # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898e9 :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758eb :  # ADC EAX,<&KERNEL32.GetTickCount> # XOR EDX,EDX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104758f0 :  # XOR EDX,EDX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898f6 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898fa :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104898fb :  # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104838fc :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047590e :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048990f :  # ADD CL,BYTE PTR DS:[EBX+5E0C2444] # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489910 :  # MOV EAX,DWORD PTR SS:[ESP+C] # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10489914 :  # POP ESI # POP EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b915 :  # XOR EAX,EAX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10475917 :  # ADC EAX,<&KERNEL32.InitializeCriticalSectionAndSpinCount> # XOR EAX,EAX # INC EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047b918 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479919 :  # POP ES # XOR EAX,EAX # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047991a :  # XOR EAX,EAX # INC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047591c :  # XOR EAX,EAX # INC EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048aeda :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047591e :  # INC EAX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047591f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048b921 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10483924 :  # MOV EAX,EDX # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10483926 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047b92b :  # POP ECX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b92c :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10473951 :  # PUSH ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10471952 :  # ADD ECX,DWORD PTR DS:[EBX+E58BFC45] # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10473956 :  # ADC ESI,ESI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1048b957 :  # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10471958 :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x1047595f :  # POP EBP # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10477963 :  # ADD BH,DH # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x10479974 :  # ADD EAX,5E58186A # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479977 :  # POP EAX # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10479978 :  # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047997d :  # XOR EAX,EAX # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047997f :  # POP ESI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b98d :  # XOR EAX,EAX # POP EBX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b98f :  # POP EBX # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b990 :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047b991 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10471997 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047399c :  # PUSH EDI # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10473112 :  # POP ESI # POP EBP # RETN 0x04    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
0x104879dd :  # ADD AL,BYTE PTR DS:[EBX] # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048b9e9 :  # OR EAX,1000 # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1048b9ee :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x104719f2 :  # DEC EAX # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047f9f7 :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10488d85 :  # INC EAX # POP EBX # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba24 :  # ADD ESP,0C # MOV EAX,EBX # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba27 :  # MOV EAX,EBX # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba29 :  # POP EBX # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba2a :  # POP EDI # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba2b :  # POP ESI # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x1047ba2c :  # POP EBP # RETN    ** [test.exe] **   |   {PAGE_EXECUTE_READ}
0x10473a3a :  # PUSH EDI # RETN    ** [test.exe] **   |  ascii {PAGE_EXECUTE_READ}
